Facility Type,Facility Name,Code,Region,Address,Suburb,State,Postcode,Latitude,Longitude,Is Active
Landfill,Suez Environmental (formerly SITA),F18,Metropolitan WRRG,274 Hallam Rd,Hampton Park,VIC,,-38.0540000000,145.2671611110,true
Landfill,Maddingley Brown Coal (ES90),F19,Grampians Central West WRRG,11 Tilleys Rd ,Maddingley,VIC,3340,-37.6970190000,144.4468790000,true
Landfill,Altona North Landfill (ES 26227),F20,Metropolitan WRRG,55 McArthurs Rd,Altona North,VIC,3018,-37.8402750000,144.8372880000,true
Landfill,Boral Landfill (ES 37288),F21,Metropolitan WRRG,1100-1152 Christies Rd,Ravenhall,VIC,3030,-37.7679760000,144.7383890000,true
Landfill,BTQ Group Sunbury (ES21321),F22,Metropolitan WRRG,500 Sunbury Rd,Bulla,VIC,3428,-37.6225600000,144.7897400000,true
Landfill,Clayton Regional Landfill (ES 20872),F23,Metropolitan WRRG,654-718 Clayton Rd,Clayton South,VIC,3169,-37.9467080000,145.1202960000,true
Landfill,Ernest Smith Contractors Landfill (ES 146),F24,Metropolitan WRRG,370-418 Old Dandenong Rd,Dingley Village,VIC,,-37.9669030000,145.1206120000,true
Landfill,Glen Landfill (ES 22749),F25,Metropolitan WRRG,75 Quarry Rd,Langwarrin,VIC,3910,-38.1416830000,145.1979300000,true
Landfill,Hanson Landfill - Woolert (ES41808),F26,Metropolitan WRRG,45 Bridge Inn Rd,Wollert,VIC,3750,-37.5941370000,145.0384850000,true
Landfill,Riddell Rd Landfill (ES465),F27,Metropolitan WRRG,"Lot 21 Riddell Rd,",Sunbury,VIC,3429,-37.5511530000,144.6846930000,true
Landfill,Suez Environmental Hallam Landfill (formerly SITA),F28,Metropolitan WRRG,274 Hallam Rd,Hampton Pk,VIC,3976,-38.0549000000,145.2730000000,true
Landfill,Suez Environmental Lyndhurst Landfill (formerly SITA),F29,Metropolitan WRRG,890 Taylors Rd,Dandenong South,VIC,3175,-38.0435810000,145.2318690000,true
Landfill,TPI Brooklyn Landfill (EX 304),F30,Metropolitan WRRG,42 Market Rd,Brooklyn,VIC,3012,-37.8044000000,144.8370000000,true
Landfill,TPI Deals Rd Landfill (ES 49849),F31,Metropolitan WRRG,Deals Rd,Clayton South,VIC,3169,-37.9567350000,145.1204430000,true
Landfill,TPI Fraser Rd Landfill (EM 28818),F32,Metropolitan WRRG,Fraser Rd,Clayton South,VIC,3169,-37.9470000000,145.1230000000,true
Landfill,TPI Heatherton Sands Landfill (ES 552),F33,Metropolitan WRRG,Cnr Heatherton Sands & Bunnys Lane,Moorabbin,VIC,3202,-37.9460000000,145.0900000000,true
Landfill,TPI Clarinda Landfill (ES45017),F34,Metropolitan WRRG,Carroll Road,Clarinda,VIC,3169,-37.9318440000,145.0919260000,true
Landfill,Werribee Landfill (ES 492),F35,Metropolitan WRRG,Wests Rd,Werribee,VIC,3030,-37.9401000000,144.5940000000,true
Landfill,Western Land Reclamation (ES26594),F36,Metropolitan WRRG,124 Jones Road,Brooklyn,VIC,3012,-37.8135290000,144.8340180000,true
Landfill,Bamganie Landfill P/L  (ES21208),F37,Grampians Central West WRRG,"Boonderoo, 616 Tall Tree Rd",Lethbridge,VIC,3332,-37.9668480000,144.1163990000,true
Landfill,Anglesea Landfill (HS539),F38,Barwon South West WRRG,"50 Coalmine Rd,",Anglesea,VIC,3230,-38.3843250000,144.2005277780,true
Landfill,Drysdale Landfill (HS1672),F39,Barwon South West WRRG,Becks Rd,Drysdale,VIC,3222,-38.1809330000,144.5985290000,true
Landfill,Castlemaine Landfill (ES24499),F40,Loddon Mallee WRRG,Sluicers Rd,Castlemaine,VIC,3450,-37.0774490000,144.1925310000,true
Landfill,Eaglehawk Landfill (ES397),F41,Loddon Mallee WRRG,191-193 Upper California Gully Rd,Eaglehawk,VIC,3556,-36.7275970000,144.2458340000,true
Landfill,Denyers Pit (ES 38707),F42,Loddon Mallee WRRG,190 Denyer Rd,Wandella,VIC,3579,-35.7625790000,143.7781500000,true
Landfill,Swan Hill Landfill (HS622),F43,Loddon Mallee WRRG,6859 Swan Hill - Sea Lake Road,Swan Hill,VIC,3585,-35.3499290000,143.5098470000,true
Landfill,Bairnsdale Landfill  (LS 52327),F44,Gippsland WRRG,200 Johnstons Rd,Forge Creek,VIC,3875,-37.8794210000,147.6264450000,true
Landfill,Grantville Landfill (ES37130),F45,Gippsland WRRG,"Grantville Gravel Reserve, Cnr Bass Hwy & Stanley Rd",Grantville,VIC,3984,-38.4227611111,145.5241194440,true
Landfill,Hyland Landfill (LS65990),F46,Gippsland WRRG,"Calignee South Road, Loy Yang",,VIC,,-38.2822560000,146.5609220000,true
Landfill,Kilmany Landfill (LS28),F47,Gippsland WRRG,Velore Rd,Kilmany,VIC,,-38.1008610000,146.9284060000,true
Landfill,Koonwarra Landfill (LS61989),F48,Gippsland WRRG,275 Koonwarra-Inverloch Rd,Koonwarra,VIC,3954,-38.5583290000,145.9222210000,true
Landfill,Lakes Entrance Landfill (LS2),F49,Gippsland WRRG,"Municipal Tip, Thorpes La",Lakes Entrance,VIC,3909,-37.8582940000,148.0067820000,true
Landfill,Maffra Landfill (LS 159),F50,Gippsland WRRG,Sellings Rd,Boisdale,VIC,3851,-37.9135194444,146.9867277780,true
Landfill,Alexandra landfill (ES31673),F51,Goulburn Valley WRRG,Mt Pleasant Rd,Alexandra,VIC,3714,-37.2092150000,145.7210710000,true
Landfill,Cobram Landfill (ES69514),F52,Goulburn Valley WRRG,Pye Rd (North Of Murray Valley Hwy),Cobram,VIC,,-35.9553370000,145.6958660000,true
Landfill,Cosgrove Landfill  (ES35898),F53,Goulburn Valley WRRG,200 Cosgrove-Lemnos Rd,Cosgrove,VIC,3631,-36.3475010000,145.5979900000,true
Landfill,Patho Landfill (ES24721),F54,Goulburn Valley WRRG,320 Davis Rd,Patho,VIC,3564,-36.0551340000,144.4352360000,true
Landfill,Dooen Landfill (ES353),F56,Grampians Central West WRRG,81 & 132 Ladlows Rd,Dooen,VIC,3401,-35.4763240000,143.6693110000,true
Landfill,Statewide Waste Regional Landfill (ES 39783),F57,Grampians Central West WRRG,492 Pomonal Rd (Stawell-Pomonal Rd),Stawell,VIC,3380,-37.0992840000,142.7359130000,true
Landfill,Smythesdale Landfill (ES27678),F58,Grampians Central West WRRG,1380 Glenelg Hwy,Smythesdale,VIC,3351,-37.6255440000,143.7012190000,true
Landfill,Mildura Landfill (HS1302),F59,Loddon Mallee WRRG,15 Scherger Drive/Ontario Avenue,Mildura,VIC,3500,-34.1850620000,142.1422690000,true
Landfill,Devil Bend Landfill (EM30017),F60,Metropolitan WRRG,Balnarring Rd,Tuerong,VIC,,-38.2946555556,145.0793555560,true
Landfill,Rye Landfill (ES453),F61,Metropolitan WRRG,"Ca 38B Parish Of Wannaeu, Cnr Browns Rd & Truemans Rd",Rye,VIC,,-38.3913720000,144.8563250000,true
Landfill,Tyabb Landfill (ES469),F62,Metropolitan WRRG,19 McKirdy's rd,Hasting,VIC,,-38.2599611111,145.2182361110,true
Landfill,Benalla Landfill (ES503),F63,North East WRRG,"Old Farnley Rd,",Benalla,VIC,3672,-36.5110805556,146.0012138890,true
Landfill,Bowser Landfill  (HS1349),F64,North East WRRG,5 Coleman Rd,Bowser,VIC,3678,-36.3181920000,146.3671650000,true
Landfill,Cobungra landfill (Mt. Hotham Resort) (ES299),F65,Gippsland WRRG,679 Great Alpine Rd,Cobungra,VIC,3898,-37.0833540000,147.3791560000,true
Landfill,Myrtleford Landfill (ES505),F66,North East WRRG,"6 Morrisons La,",Myrtleford,VIC,3737,-36.5432222222,146.7611805560,true
Landfill,Corangamite Regional Landfill  (ES38232),F67,Barwon South West WRRG,"Section 4, County Boundary & Forest Park Rds",Naroghid,VIC,,-38.2721770000,143.0513510000,true
Landfill,Hamilton Landfill (HS1483),F68,Barwon South West WRRG,68 Elijah St (3Km SW Hamilton),Hamilton,VIC,,-37.7465390000,141.9966300000,true
Landfill,Portland Landfill (HS766),F69,Barwon South West WRRG,210 Cape Nelson Road & CA 3G SEC 13 Parish of Portland,Portland,VIC,3305,-38.3714830000,141.5833760000,true
Landfill,Alvie Landfill (ES41784),F70,Barwon South West WRRG,"Corangamite Lake Rd,",Alvie,VIC,3249,-38.2511218417,143.5199062920,true
Landfill,Fyansford (Moltoni) Landfill (ES 22882),F71,Barwon South West WRRG,Lower Papermills Rd,Fyansford,VIC,,-38.1437900730,144.2991203200,true
Landfill,Heathcote Landfill (unlicensed),F72,Loddon Mallee WRRG,Golden Gully Rd,Heathcote,VIC,,-36.9353610000,144.6968220000,true
Landfill,Birchip Landfill (unlicensed),F73,Loddon Mallee WRRG,Birchip-Corack Rd (Cnr Mcfarlane Rd),Birchip,VIC,,-36.0124310000,142.9375830000,true
Landfill,Boort Landfill (unlicensed),F74,Loddon Mallee WRRG,Meering Rd,Boort,VIC,,-36.1042830000,143.7245180000,true
Landfill,Boundary Bend Landfill (unlicensed),F75,Loddon Mallee WRRG,Kooloonong Road,Boundary Bend,VIC,,-34.7494590000,143.1424340000,true
Landfill,Charlton Landfill (unlicensed),F76,Loddon Mallee WRRG,Charlton St Arnaud Rd,Charlton,VIC,,-36.2836100000,143.3343000000,true
Landfill,Culgoa Landfill (unlicensed),F77,Loddon Mallee WRRG,Cnr Culgoa-Labert Rd & Barry's Rd,Culgoa,VIC,,-35.7167900000,143.1334000000,true
Landfill,Donald Landfill (unlicensed),F78,Loddon Mallee WRRG,Depot Rd,Donald,VIC,,-36.3834700000,142.9525000000,true
Landfill,Inglewood Landfill (unlicensed),F79,Loddon Mallee WRRG,North St (Salisbury Rd),Inglewood,VIC,,-36.5646030000,143.8791890000,true
Landfill,Manangatang Landfill (unlicensed),F80,Loddon Mallee WRRG,Moondah Rd,Manangatang,VIC,,-35.0380260000,142.8970960000,true
Landfill,Nandaly Landfill (unlicensed) (CLOSED),F81,Loddon Mallee WRRG,Off Nyarrin - Nandaly Rd,Nandaly,VIC,,-35.3064960000,142.6985300000,true
Landfill,Newbridge Landfill (unlicensed),F82,Loddon Mallee WRRG,Tip Rd Off Tarnagulla Road (Newbridge Tarangulla Rd),Newbridge,VIC,,-36.7421640000,143.8932940000,true
Landfill,Piangil Landfill (unlicensed),F83,Loddon Mallee WRRG,Hayward Road,Piangil,VIC,,-35.0587388900,143.3094389000,true
Landfill,Pyramid Hill Landfill (unlicensed),F84,Loddon Mallee WRRG,Cemetery Rd,Pyramid Hill,VIC,,-36.0627060000,144.1454170000,true
Landfill,Robinvale Landfill (unlicensed),F85,Loddon Mallee WRRG,Robinvale - Sea Lake Rd,Robinvale,VIC,,-34.6807330000,142.7785850000,true
Landfill,Ultima Landfill (unlicensed),F86,Loddon Mallee WRRG,Sea Lake Rd,Ultima,VIC,,-35.4546180000,143.2806490000,true
Landfill,Wycheproof Landfill (unlicensed),F87,Loddon Mallee WRRG,Mackies Rd,Wycheproof,VIC,,-36.0624560000,143.2582100000,true
Landfill,Benambra Landfill (unlicensed),F88,Gippsland WRRG,Lake Omeo Road,Benambra,VIC,,-36.9439666667,147.6980000000,true
Landfill,Bendoc Landfill (unlicensed),F89,Gippsland WRRG,Clarkeville Rd,Bendoc,VIC,,-37.1530888889,148.8826750000,true
Landfill,Bonang Landfill (unlicensed),F90,Gippsland WRRG,16 Mailing Rd,Bonang,VIC,,-37.2023722222,148.7259111110,true
Landfill,Cann River Landfill (unlicensed),F91,Gippsland WRRG,Old Orbost Rd,Cann River,VIC,,-37.5699083333,149.1111944440,true
Landfill,Mallacoota Landfill,F92,Gippsland WRRG,Betka Rd,Mallacoota,VIC,3892,-37.5721138889,149.7458250000,true
Landfill,Orbost Landfill,F93,Gippsland WRRG,351 Bonang Rd,Orbost,VIC,3888,-37.6675000000,148.4809000000,true
Landfill,Rosedale Landfill (unlicensed),F94,Gippsland WRRG,Merton Vale rd,Rosedale,VIC,,-38.1878540000,146.8106890000,true
Landfill,Hard Hills Landfill (unlicensed),F95,Grampians Central West WRRG,Old Wedderburn Rd,St Arnaud,VIC,,-36.5902777800,143.3286944000,true
Landfill,Lah Landfill,F96,Grampians Central West WRRG,Henty Highway,Lah,VIC,,-36.1377638889,142.4151083330,true
Landfill,Marnoo Landfill (unlicensed) (hard waste only),F97,Grampians Central West WRRG,Auvergne Rd,Marnoo,VIC,,-36.6821340000,142.8620970000,true
Landfill,Patchewollock Landfill (unlicensed),F98,Grampians Central West WRRG,Hopetoun-Walpeup Rd,Patchewollock,VIC,,-35.3737890000,142.2058880000,true
Landfill,Sheep Hills Landfill,F99,Grampians Central West WRRG,Hausler Rd,Sheep Hills,VIC,,-36.3362666667,142.5767055560,true
