DBNO,TRANSNO,Facility NAME,DATETIMEIN,WEIGHTNETT,ITEM GROUP NAME,ITEM NAME,INNOUTUT,ITEM QTY,Volume m3,Density factor (t/m3),kg per item,tot tonnes,Disposal Facility
2,39539,Venus Bay Transfer Station,2017-09-01 09:55:37,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39549,Venus Bay Transfer Station,2017-09-01 11:44:17,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39551,Venus Bay Transfer Station,2017-09-02 09:44:01,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39563,Venus Bay Transfer Station,2017-09-02 11:15:18,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39566,Venus Bay Transfer Station,2017-09-02 11:27:54,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39577,Venus Bay Transfer Station,2017-09-02 12:54:18,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39584,Venus Bay Transfer Station,2017-09-02 13:35:21,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39598,Venus Bay Transfer Station,2017-09-03 11:07:41,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39619,Venus Bay Transfer Station,2017-09-04 10:32:26,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39622,Venus Bay Transfer Station,2017-09-04 11:49:43,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39629,Venus Bay Transfer Station,2017-09-08 09:51:50,0.0,Domestic Waste,01) Bag (<120L),IN,2,0.075,0.13,,0.0195,
2,39639,Venus Bay Transfer Station,2017-09-09 10:10:49,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39652,Venus Bay Transfer Station,2017-09-09 12:10:46,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39664,Venus Bay Transfer Station,2017-09-09 14:29:13,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39666,Venus Bay Transfer Station,2017-09-09 14:40:35,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39670,Venus Bay Transfer Station,2017-09-10 10:16:04,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39677,Venus Bay Transfer Station,2017-09-10 11:17:50,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39680,Venus Bay Transfer Station,2017-09-10 11:23:41,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39684,Venus Bay Transfer Station,2017-09-10 11:55:18,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39688,Venus Bay Transfer Station,2017-09-10 12:26:03,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39689,Venus Bay Transfer Station,2017-09-10 12:28:25,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39704,Venus Bay Transfer Station,2017-09-11 10:22:30,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39705,Venus Bay Transfer Station,2017-09-11 10:26:19,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39714,Walkerville Transfer Station,2017-09-11 14:15:45,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39722,Venus Bay Transfer Station,2017-09-15 09:13:02,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39730,Venus Bay Transfer Station,2017-09-15 11:29:14,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39740,Venus Bay Transfer Station,2017-09-16 11:06:04,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39745,Venus Bay Transfer Station,2017-09-16 11:21:53,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39765,Venus Bay Transfer Station,2017-09-16 14:56:40,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39768,Venus Bay Transfer Station,2017-09-17 10:18:48,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39772,Venus Bay Transfer Station,2017-09-17 10:58:41,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39782,Venus Bay Transfer Station,2017-09-17 12:05:31,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39784,Venus Bay Transfer Station,2017-09-17 12:21:56,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39787,Venus Bay Transfer Station,2017-09-17 12:26:31,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39792,Venus Bay Transfer Station,2017-09-17 12:48:15,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39798,Venus Bay Transfer Station,2017-09-17 14:10:30,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
2,39801,Venus Bay Transfer Station,2017-09-17 15:06:33,0.0,Domestic Waste,01) Bag (<120L),IN,1,0.075,0.13,,0.00975,
